,accession,start,end,strand,gene_name,old_locus_tag,gene_product,ncbi_protein,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
b3418,U00096.3,3553085,3555790,+,malT,,DNA-binding transcriptional activator MalT,AAC76443.1,316407.85676623,0.0,1773.0,"COG2909@1|root,COG2909@2|Bacteria,1MVZZ@1224|Proteobacteria,1RN29@1236|Gammaproteobacteria,3XN8M@561|Escherichia",2|Bacteria,K,Positively regulates the transcription of the maltose regulon whose gene products are responsible for uptake and catabolism of malto-oligosaccharides. Binds and recognizes a DNA motif (called the malT box) 5'-GGA TG GA-3',malT,"GO:0003674,GO:0003700,GO:0005488,GO:0005515,GO:0005975,GO:0006355,GO:0008150,GO:0008152,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0030246,GO:0031323,GO:0031326,GO:0042802,GO:0044238,GO:0048031,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0070492,GO:0071704,GO:0080090,GO:0140110,GO:1903506,GO:2000112,GO:2001141",-,ko:K03556,-,-,-,-,"ko00000,ko03000",-,-,-,"AAA_16,GerE"
b4475,U00096.3,3555833,3556849,-,rtcA,,RNA 3'-terminal phosphate cyclase,AAT48181.1,316407.85676622,2.4099999999999998e-236,650.0,"COG0430@1|root,COG0430@2|Bacteria,1MX7Q@1224|Proteobacteria,1RSFF@1236|Gammaproteobacteria,3XMP7@561|Escherichia",2|Bacteria,A,"Catalyzes the conversion of 3'-phosphate to a 2',3'- cyclic phosphodiester at the end of RNA. The mechanism of action of the enzyme occurs in 3 steps (A) adenylation of the enzyme by ATP",rtcA,"GO:0003674,GO:0003824,GO:0003963,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009975,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016886,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:1901360",6.5.1.4,ko:K01974,-,-,-,-,"ko00000,ko01000",-,-,-,"RTC,RTC_insert"
b3421,U00096.3,3556853,3558079,-,rtcB,,RNA-splicing ligase,AAC76446.1,316407.85676621,2.8199999999999998e-300,818.0,"COG1690@1|root,COG1690@2|Bacteria,1MUHA@1224|Proteobacteria,1RMXH@1236|Gammaproteobacteria,3XMBB@561|Escherichia",2|Bacteria,S,"RNA ligase that mediates the joining of broken tRNA-like stem-loop structures in case of tRNA damage. Probably participates to tRNA restriction-repair by ligating broken tRNA-like stem-loop structures with 2',3'-cyclic phosphate and 5'-OH ends to form a splice junction with a 2'-OH, 3',5'-phosphodiester, a step that requires GTP. Also acts as a DNA ligase in case of DNA damage by splicing 'dirty' DNA breaks, characterized by 3'-PO4 (or cyclic-PO4) and 5'-OH ends that cannot be sealed by classical DNA ligases",rtcB,"GO:0003674,GO:0003824,GO:0003909,GO:0005488,GO:0006139,GO:0006259,GO:0006266,GO:0006281,GO:0006396,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008452,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016886,GO:0030145,GO:0033554,GO:0034641,GO:0042245,GO:0043167,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0046872,GO:0046914,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0140097,GO:0140098,GO:1901360",6.5.1.3,ko:K14415,-,-,-,-,"ko00000,ko01000,ko03016",-,-,-,RtcB
b3422,U00096.3,3558268,3559866,+,rtcR,,DNA-binding transcriptional activator RtcR,AAC76447.1,316407.85676620,0.0,1053.0,"COG4650@1|root,COG4650@2|Bacteria,1MX6U@1224|Proteobacteria,1RS3H@1236|Gammaproteobacteria,3XNMV@561|Escherichia",2|Bacteria,K,Transcriptional regulatory protein RtcR,rtcR,"GO:0003674,GO:0003700,GO:0006355,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0045893,GO:0045935,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0080090,GO:0140110,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141",-,ko:K14414,-,-,-,-,"ko00000,ko03000",-,-,-,"RtcR,Sigma54_activat"
b3424,U00096.3,3560622,3561452,-,glpG,,rhomboid protease GlpG,AAT48182.1,316407.85676618,2.74e-204,564.0,"COG0705@1|root,COG0705@2|Bacteria,1MYPM@1224|Proteobacteria,1RN1K@1236|Gammaproteobacteria,3XMTF@561|Escherichia",2|Bacteria,S,Rhomboid-type serine protease that catalyzes intramembrane proteolysis,glpG,"GO:0000976,GO:0000984,GO:0000986,GO:0000987,GO:0001017,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003824,GO:0004175,GO:0004252,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006355,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016020,GO:0016021,GO:0016787,GO:0017171,GO:0019219,GO:0019222,GO:0019538,GO:0031224,GO:0031226,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0042802,GO:0043170,GO:0043565,GO:0044212,GO:0044238,GO:0044425,GO:0044459,GO:0044464,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0070011,GO:0071704,GO:0071944,GO:0080090,GO:0097159,GO:0140096,GO:1901363,GO:1901564,GO:1902679,GO:1903506,GO:1903507,GO:1990837,GO:2000112,GO:2000113,GO:2001141",-,ko:K02441,-,-,-,-,ko00000,-,-,-,"NRho,Rhomboid,Rhomboid_N"
b3425,U00096.3,3561497,3561823,-,glpE,,thiosulfate sulfurtransferase GlpE,AAC76450.1,199310.c4202,7.64e-76,226.0,"COG0607@1|root,COG0607@2|Bacteria,1MZPW@1224|Proteobacteria,1S94C@1236|Gammaproteobacteria,3XPQ7@561|Escherichia",2|Bacteria,P,"Catalyzes, although with low efficiency, the sulfur transfer reaction from thiosulfate to cyanide",glpE,"GO:0003674,GO:0003824,GO:0004792,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0016740,GO:0016782,GO:0016783,GO:0044424,GO:0044464",2.8.1.1,"ko:K02439,ko:K07390","ko00920,ko01110,ko01120,map00920,map01110,map01120",-,R01931,-,"ko00000,ko00001,ko01000,ko03029,ko03110",-,-,iECSF_1327.ECSF_3244,"Glutaredoxin,Rhodanese"
b3426,U00096.3,3562013,3563518,+,glpD,,aerobic glycerol 3-phosphate dehydrogenase,AAC76451.1,316407.85676616,0.0,1018.0,"COG0578@1|root,COG0578@2|Bacteria,1MUMY@1224|Proteobacteria,1RMGP@1236|Gammaproteobacteria,3XMEJ@561|Escherichia",2|Bacteria,C,Belongs to the FAD-dependent glycerol-3-phosphate dehydrogenase family,glpD,"GO:0000166,GO:0003674,GO:0003824,GO:0004368,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005887,GO:0006072,GO:0006091,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009055,GO:0009056,GO:0009331,GO:0009987,GO:0016020,GO:0016021,GO:0016491,GO:0016614,GO:0016901,GO:0019637,GO:0022900,GO:0031224,GO:0031226,GO:0032991,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0046168,GO:0046434,GO:0048037,GO:0050660,GO:0050662,GO:0052590,GO:0052646,GO:0055114,GO:0071704,GO:0071944,GO:0071949,GO:0097159,GO:1901135,GO:1901136,GO:1901265,GO:1901363,GO:1901575,GO:1902494,GO:1990204",1.1.5.3,ko:K00111,"ko00564,ko01110,map00564,map01110",-,R00848,RC00029,"ko00000,ko00001,ko01000",-,-,iSSON_1240.SSON_3663,"DAO,DAO_C"
b3427,U00096.3,3563724,3564005,-,yzgL,,putative uncharacterized protein YzgL,AYC08247.1,316407.85676615,4.7000000000000004e-57,177.0,"COG0226@1|root,COG0226@2|Bacteria,1NZ5S@1224|Proteobacteria,1SQJ7@1236|Gammaproteobacteria",2|Bacteria,P,Part of the ABC transporter complex PstSACB involved in phosphate import,yzgL,-,-,ko:K02040,"ko02010,ko02020,ko05152,map02010,map02020,map05152",M00222,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.7,-,-,"OmpA,PBP_like_2"
b3428,U00096.3,3564134,3566581,-,glgP,,glycogen phosphorylase,AAC76453.1,316407.85676614,0.0,1641.0,"COG0058@1|root,COG0058@2|Bacteria,1MW4J@1224|Proteobacteria,1RN8P@1236|Gammaproteobacteria,3XPF9@561|Escherichia",2|Bacteria,G,"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties",glgP,"GO:0000272,GO:0003674,GO:0003824,GO:0004645,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005976,GO:0005977,GO:0005980,GO:0006073,GO:0006091,GO:0006112,GO:0008144,GO:0008150,GO:0008152,GO:0008184,GO:0009056,GO:0009057,GO:0009251,GO:0009987,GO:0015980,GO:0016052,GO:0016740,GO:0016757,GO:0016758,GO:0019842,GO:0030170,GO:0030978,GO:0030980,GO:0031220,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044247,GO:0044248,GO:0044260,GO:0044262,GO:0044264,GO:0044275,GO:0044424,GO:0044444,GO:0044464,GO:0048037,GO:0050662,GO:0055114,GO:0070279,GO:0071704,GO:0097159,GO:1901363,GO:1901575",2.4.1.1,ko:K00688,"ko00500,ko01100,ko01110,ko02026,ko04217,ko04910,ko04922,ko04931,map00500,map01100,map01110,map02026,map04217,map04910,map04922,map04931",-,R02111,-,"ko00000,ko00001,ko01000",-,GT35,iECNA114_1301.ECNA114_3525,Phosphorylase
b3429,U00096.3,3566600,3568033,-,glgA,,glycogen synthase,AAC76454.1,316407.85676613,0.0,964.0,"COG0297@1|root,COG0297@2|Bacteria,1MUGM@1224|Proteobacteria,1RNMP@1236|Gammaproteobacteria,3XP2P@561|Escherichia",2|Bacteria,F,"Synthesizes alpha-1,4-glucan chains using ADP-glucose",glgA,"GO:0000271,GO:0003674,GO:0003824,GO:0004373,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005976,GO:0005977,GO:0005978,GO:0006073,GO:0006091,GO:0006112,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008194,GO:0009011,GO:0009058,GO:0009059,GO:0009250,GO:0009987,GO:0015980,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0033554,GO:0033692,GO:0034637,GO:0034645,GO:0035251,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0046527,GO:0050896,GO:0051716,GO:0055114,GO:0071704,GO:1901576",2.4.1.21,ko:K00703,"ko00500,ko01100,ko01110,ko02026,map00500,map01100,map01110,map02026",M00565,R02421,RC00005,"ko00000,ko00001,ko00002,ko01000,ko01003",-,GT5,iSFV_1184.SFV_3438,"Glyco_transf_5,Glycos_transf_1"
b3430,U00096.3,3568033,3569328,-,glgC,,glucose-1-phosphate adenylyltransferase,AAC76455.1,199310.c4217,0.0,871.0,"COG0448@1|root,COG0448@2|Bacteria,1MVTC@1224|Proteobacteria,1RP04@1236|Gammaproteobacteria,3XP6K@561|Escherichia",2|Bacteria,F,"Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans",glgC,"GO:0000166,GO:0000271,GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005975,GO:0005976,GO:0005977,GO:0005978,GO:0006073,GO:0006091,GO:0006112,GO:0008144,GO:0008150,GO:0008152,GO:0008878,GO:0009058,GO:0009059,GO:0009250,GO:0009987,GO:0015980,GO:0016043,GO:0016051,GO:0016208,GO:0016740,GO:0016772,GO:0016779,GO:0017076,GO:0022607,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033692,GO:0034637,GO:0034645,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043933,GO:0044042,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0046872,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0055114,GO:0065003,GO:0070566,GO:0071704,GO:0071840,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901576",2.7.7.27,ko:K00975,"ko00500,ko00520,ko01100,ko01110,ko02026,map00500,map00520,map01100,map01110,map02026",M00565,R00948,RC00002,"ko00000,ko00001,ko00002,ko01000",-,-,"iAPECO1_1312.APECO1_3027,iUTI89_1310.UTI89_C3939,iYL1228.KPN_03796",NTP_transferase
b3431,U00096.3,3569346,3571319,-,glgX,,limit dextrin alpha-1%2C6-glucohydrolase,AAC76456.1,316407.85676611,0.0,1397.0,"COG1523@1|root,COG1523@2|Bacteria,1MU19@1224|Proteobacteria,1RP6F@1236|Gammaproteobacteria,3XNET@561|Escherichia",2|Bacteria,G,"Removes maltotriose and maltotetraose chains that are attached by 1,6-alpha-linkage to the limit dextrin main chain, generating a debranched limit dextrin",glgX,"GO:0000272,GO:0003674,GO:0003824,GO:0004133,GO:0004135,GO:0004553,GO:0005975,GO:0005976,GO:0005977,GO:0005980,GO:0006073,GO:0006091,GO:0006112,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009251,GO:0009987,GO:0015926,GO:0015980,GO:0016052,GO:0016787,GO:0016798,GO:0033554,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044247,GO:0044248,GO:0044260,GO:0044262,GO:0044264,GO:0044275,GO:0050896,GO:0051716,GO:0055114,GO:0071704,GO:0090599,GO:1901575","3.2.1.196,3.2.1.41,3.2.1.68","ko:K01200,ko:K01214,ko:K02438","ko00500,ko01100,ko01110,map00500,map01100,map01110",M00565,"R02111,R09995,R11261",-,"ko00000,ko00001,ko00002,ko01000",-,"CBM48,GH13","iEcHS_1320.EcHS_A3631,iEcolC_1368.EcolC_0281","Alpha-amylase,CBM_48"
b3432,U00096.3,3571316,3573502,-,glgB,,1%2C4-alpha-glucan branching enzyme,AAC76457.1,316407.85676610,0.0,1553.0,"COG0296@1|root,COG0296@2|Bacteria,1QTVN@1224|Proteobacteria,1RQSK@1236|Gammaproteobacteria,3XMP5@561|Escherichia",2|Bacteria,G,"Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position",glgB,"GO:0000271,GO:0003674,GO:0003824,GO:0003844,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005976,GO:0005977,GO:0005978,GO:0006073,GO:0006091,GO:0006112,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009987,GO:0015980,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0033554,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716,GO:0055114,GO:0071704,GO:1901576",2.4.1.18,"ko:K00700,ko:K17734","ko00500,ko01100,ko01110,map00500,map01100,map01110",M00565,R02110,-,"ko00000,ko00001,ko00002,ko01000,ko01002,ko04147",-,"CBM48,GH13","iAPECO1_1312.APECO1_3025,iECNA114_1301.ECNA114_3542,iECOK1_1307.ECOK1_3857,iECS88_1305.ECS88_3830,iECSF_1327.ECSF_3253,iLF82_1304.LF82_0837,iNRG857_1313.NRG857_17030,iUTI89_1310.UTI89_C3941","Alpha-amylase,Alpha-amylase_C,CBM_48"
b4788,U00096.3,3573660,3573701,-,yhgO,,protein YhgO,QNV50541.1,,,,,,,,,,,,,,,,,,,,
b4789,U00096.3,3573679,3573708,-,yhgP,,protein YhgP,QNV50542.1,,,,,,,,,,,,,,,,,,,,
b3433,U00096.3,3573775,3574878,-,asd,,aspartate-semialdehyde dehydrogenase,AAC76458.1,511145.b3433,2.36e-269,736.0,"COG0136@1|root,COG0136@2|Bacteria,1MUHG@1224|Proteobacteria,1RMN3@1236|Gammaproteobacteria,3XMDB@561|Escherichia",2|Bacteria,E,Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate,asd,"GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0004073,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006549,GO:0006553,GO:0006555,GO:0006566,GO:0006790,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009069,GO:0009070,GO:0009081,GO:0009082,GO:0009085,GO:0009086,GO:0009088,GO:0009089,GO:0009090,GO:0009092,GO:0009097,GO:0009987,GO:0016053,GO:0016491,GO:0016620,GO:0016903,GO:0019752,GO:0033554,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046451,GO:0050896,GO:0051716,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",1.2.1.11,ko:K00133,"ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01210,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01210,map01230","M00016,M00017,M00018,M00033,M00525,M00526,M00527",R02291,RC00684,"ko00000,ko00001,ko00002,ko01000",-,-,iECP_1309.ECP_3527,"Semialdhyde_dh,Semialdhyde_dhC"
b3434,U00096.3,3575071,3575664,+,yhgN,,MarC family putative inner membrane protein YhgN,AAC76459.1,316407.85676608,6.63e-125,357.0,"COG2095@1|root,COG2095@2|Bacteria,1N689@1224|Proteobacteria,1RPV0@1236|Gammaproteobacteria,3XMAM@561|Escherichia",2|Bacteria,U,MarC family integral membrane protein,yhgN,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,ko:K05595,-,-,-,-,"ko00000,ko02000",2.A.95.1,-,-,MarC
b4476,U00096.3,3575721,3577061,-,gntU,,low-affinity gluconate transporter,AAT48183.1,316407.85676607,7.97e-308,840.0,"COG2610@1|root,COG2610@2|Bacteria,1MUFG@1224|Proteobacteria,1RNGE@1236|Gammaproteobacteria,3XMJC@561|Escherichia",2|Bacteria,P,Low-affinity gluconate,gntU,"GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005402,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006855,GO:0006865,GO:0006950,GO:0006974,GO:0008028,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0008643,GO:0009987,GO:0015075,GO:0015128,GO:0015144,GO:0015171,GO:0015175,GO:0015238,GO:0015291,GO:0015293,GO:0015294,GO:0015318,GO:0015568,GO:0015711,GO:0015718,GO:0015726,GO:0015804,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022889,GO:0022890,GO:0031224,GO:0031226,GO:0032329,GO:0033554,GO:0034219,GO:0034220,GO:0035429,GO:0042221,GO:0042493,GO:0042873,GO:0042879,GO:0042940,GO:0042942,GO:0042943,GO:0042945,GO:0044425,GO:0044459,GO:0044464,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0098655,GO:0098656,GO:1903825,GO:1905039",-,"ko:K03299,ko:K06155,ko:K06156,ko:K06157,ko:K13629",-,-,-,-,"ko00000,ko02000","2.A.8,2.A.8.1.2,2.A.8.1.4,2.A.8.1.5,2.A.8.1.8",-,"iAF1260.b4476,iB21_1397.B21_03240,iBWG_1329.BWG_3127,iEC55989_1330.EC55989_3845,iECB_1328.ECB_03287,iECDH10B_1368.ECDH10B_3609,iECDH1ME8569_1439.ECDH1ME8569_3313,iECD_1391.ECD_03287,iECH74115_1262.ECH74115_4752,iECIAI1_1343.ECIAI1_3581,iECIAI39_1322.ECIAI39_3918,iECO26_1355.ECO26_4525,iECSE_1348.ECSE_3704,iECSP_1301.ECSP_4391,iECUMN_1333.ECUMN_3899,iECs_1301.ECs4285,iEKO11_1354.EKO11_0306,iETEC_1333.ETEC_3684,iEcDH1_1363.EcDH1_0279,iEcE24377_1341.EcE24377A_3914,iEcHS_1320.EcHS_A3635,iEcSMS35_1347.EcSMS35_3719,iEcolC_1368.EcolC_0277,iG2583_1286.G2583_4138,iJO1366.b4476,iSDY_1059.SDY_3587,iSSON_1240.SSON_3547,iUMNK88_1353.UMNK88_4205,iY75_1357.Y75_RS20045,iYL1228.KPN_03800,iZ_1308.Z4804",GntP_permease
b3437,U00096.3,3577065,3577592,-,gntK,,D-gluconate kinase%2C thermostable,AAC76462.2,316407.85676606,1.7e-123,352.0,"COG3265@1|root,COG3265@2|Bacteria,1RHD0@1224|Proteobacteria,1RP41@1236|Gammaproteobacteria,3XN1N@561|Escherichia",2|Bacteria,F,gluconokinase activity,gntK,"GO:0003674,GO:0003824,GO:0005975,GO:0006082,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0016052,GO:0016054,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019520,GO:0019521,GO:0019523,GO:0019752,GO:0032787,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044262,GO:0044275,GO:0044281,GO:0044282,GO:0046176,GO:0046183,GO:0046316,GO:0046395,GO:0071704,GO:0072329,GO:1901575",2.7.1.12,ko:K00851,"ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map01100,map01110,map01120,map01130,map01200",-,R01737,"RC00002,RC00017","ko00000,ko00001,ko01000",-,-,"iECSF_1327.ECSF_4156,iUTI89_1310.UTI89_C3945,iYL1228.KPN_03801","AAA_33,SKI"
b3438,U00096.3,3577731,3578726,-,gntR,,DNA-binding transcriptional repressor GntR,AAT48184.1,316407.85676605,8.1e-236,649.0,"COG1609@1|root,COG1609@2|Bacteria,1MUEP@1224|Proteobacteria,1RQKH@1236|Gammaproteobacteria,3XNR3@561|Escherichia",2|Bacteria,K,"Negative regulator for the gluconate utilization system GNT-I, the gntUKR operon",gntR,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006355,GO:0006950,GO:0006974,GO:0008150,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0033554,GO:0044424,GO:0044444,GO:0044464,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0051716,GO:0060255,GO:0065007,GO:0080090,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:2000112,GO:2000113,GO:2001141",-,"ko:K06145,ko:K06146",-,-,-,-,"ko00000,ko03000",-,-,-,"LacI,Peripla_BP_1,Peripla_BP_3"
b3439,U00096.3,3578950,3579645,-,yhhW,,quercetin 2%2C3-dioxygenase,AAC76464.1,316407.85676604,8.42e-172,478.0,"COG1741@1|root,COG1741@2|Bacteria,1MVSW@1224|Proteobacteria,1RNVS@1236|Gammaproteobacteria,3XMG6@561|Escherichia",2|Bacteria,S,"however, may provide a mechanism that would avoid inhibition of key cellular proteins, such as DNA gyrase, by quercetin",yhhW,"GO:0003674,GO:0003824,GO:0008127,GO:0008150,GO:0008152,GO:0016491,GO:0016701,GO:0016702,GO:0051213,GO:0055114",-,ko:K06911,-,-,-,-,ko00000,-,-,-,Pirin
b3440,U00096.3,3579768,3580805,-,yhhX,,putative oxidoreductase YhhX,AAC76465.1,316407.85676603,9.019999999999999e-256,700.0,"COG0673@1|root,COG0673@2|Bacteria,1NHXV@1224|Proteobacteria,1RZPJ@1236|Gammaproteobacteria,3XN06@561|Escherichia",2|Bacteria,S,oxidoreductase activity,yhhX,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464",1.1.1.371,ko:K16044,"ko00562,ko01120,map00562,map01120",-,R09954,RC00182,"ko00000,ko00001,ko01000",-,-,-,"GFO_IDH_MocA,GFO_IDH_MocA_C"
b3441,U00096.3,3581138,3581626,+,yhhY,,N-acetyltransferase YhhY,AAC76466.1,316407.85676602,3.95e-118,337.0,"COG1247@1|root,COG1247@2|Bacteria,1QUGY@1224|Proteobacteria,1T1YJ@1236|Gammaproteobacteria,3XP7U@561|Escherichia",2|Bacteria,M,"Catalyzes the N-acetylation of L-phenylalanine and L- methionine using acetyl-CoA as acetyl donor in vitro. Cannot accept L-tyrosine as substrate and propionyl-CoA, succinyl-CoA or (S)-methylmalonyl-CoA as acyl donors. Is also able to acetylate and thus detoxify several nonhydrolyzable aminoacyl adenylates, but not the processed form of the peptide- nucleotide antibiotic microcin C (McC). When overproduced, provides complete resistance to leucyl sulfamoyl adenylate (LSA) and partial resistance to alanyl sulfamoyl adenylate (ASA) and phenylalanyl sulfamoyl adenylate (FSA). Therefore, may protect bacteria from various toxic aminoacyl nucleotides, either exogenous or those generated inside the cell during normal metabolism",yhhY,"GO:0003674,GO:0003824,GO:0004596,GO:0005575,GO:0005622,GO:0005623,GO:0006464,GO:0006473,GO:0006474,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0019538,GO:0031248,GO:0031365,GO:0032991,GO:0034212,GO:0036211,GO:0043170,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0051604,GO:0071704,GO:1901564,GO:1902493,GO:1902494,GO:1990234","2.1.2.9,2.3.1.183","ko:K00604,ko:K03823,ko:K03825","ko00440,ko00670,ko00970,ko01130,map00440,map00670,map00970,map01130",-,"R03940,R08871,R08938","RC00004,RC00026,RC00064,RC00165","ko00000,ko00001,ko01000",-,-,-,"Acetyltransf_1,Acetyltransf_4"
